,cari_category,municipality,cost_food_total,household_size,government_assistance
107,Marginal Security,sucre,492000.0,39,1.0
108,Marginal Security,suesca,838000.0,93,0.6666666666666666
109,Marginal Security,sutatenza,474100.0,56,0.7777777777777778
110,Marginal Security,tame,481000.0,53,0.38461538461538464
111,Marginal Security,timbiqui,771000.0,34,0.8333333333333334
112,Marginal Security,tunja,617200.0,172,0.2727272727272727
113,Marginal Security,turbaco,444900.0,106,0.7931034482758621
114,Marginal Security,valledupar,583000.0,258,0.609375
115,Marginal Security,villamaria,412000.0,49,0.3888888888888889
116,Marginal Security,villavicencio,585200.0,299,0.4835164835164835
117,Marginal Security,yopal,586500.0,165,0.5
118,Moderate Insecurity,8558,349500.0,16,1.0
119,Moderate Insecurity,abrego,350500.0,86,0.95
120,Moderate Insecurity,acacias,443000.0,50,0.5555555555555556
121,Moderate Insecurity,aguazul,297000.0,32,0.625
122,Moderate Insecurity,aldana,326500.0,50,0.8461538461538461
123,Moderate Insecurity,alvarado,338000.0,17,0.8
124,Moderate Insecurity,aranzazu,216000.0,30,0.7142857142857143
125,Moderate Insecurity,arauca,306100.0,246,0.75
126,Moderate Insecurity,ariguani,404000.0,49,0.7692307692307693
127,Moderate Insecurity,armenia,280700.0,108,0.5333333333333333
128,Moderate Insecurity,barrancabermeja,550300.0,82,0.8235294117647058
129,Moderate Insecurity,barranquilla,445000.0,290,0.576271186440678
130,Moderate Insecurity,bogota__d_c_,410000.0,292,0.4861111111111111
131,Moderate Insecurity,bolivar,231000.0,46,0.6428571428571429
132,Moderate Insecurity,bosconia,455100.0,107,0.8181818181818182
133,Moderate Insecurity,bucaramanga,231750.0,101,0.5
134,Moderate Insecurity,caicedo,244300.0,10,0.75
135,Moderate Insecurity,calarca,268000.0,21,0.7142857142857143
136,Moderate Insecurity,caldas,283200.0,9,0.2
137,Moderate Insecurity,cali,430100.0,207,0.46808510638297873
138,Moderate Insecurity,candelaria,336000.0,57,0.9230769230769231
139,Moderate Insecurity,cartagena_de_indias,445900.0,418,0.6533333333333333
140,Moderate Insecurity,cartagena_del_chaira,228200.0,61,0.9333333333333333
141,Moderate Insecurity,cartago,350000.0,63,0.6470588235294118
142,Moderate Insecurity,chinu,397800.0,127,0.9629629629629629
143,Moderate Insecurity,coloso,290000.0,29,1.0
144,Moderate Insecurity,combita,219500.0,51,0.625
145,Moderate Insecurity,cordoba,182500.0,24,0.8333333333333334
146,Moderate Insecurity,corozal,374000.0,117,0.9583333333333334
147,Moderate Insecurity,cumaribo,580000.0,94,0.38461538461538464
148,Moderate Insecurity,dibulla,295000.0,55,1.0
149,Moderate Insecurity,distraccion,283000.0,58,0.9
150,Moderate Insecurity,dosquebradas,547000.0,31,0.5
151,Moderate Insecurity,el_carmen_de_bolivar,381000.0,144,0.8235294117647058
152,Moderate Insecurity,el_carmen_de_chucuri,322500.0,39,0.8
153,Moderate Insecurity,el_guamo,424500.0,45,1.0
154,Moderate Insecurity,florencia,243800.0,135,0.8055555555555556
155,Moderate Insecurity,fonseca,285000.0,80,0.8421052631578947
156,Moderate Insecurity,fresno,449000.0,40,0.5
157,Moderate Insecurity,fundacion,319500.0,72,0.75
158,Moderate Insecurity,funza,453000.0,67,0.631578947368421
159,Moderate Insecurity,gacheta,281500.0,13,0.5
160,Moderate Insecurity,garzon,351500.0,53,0.8333333333333334
161,Moderate Insecurity,ginebra,338000.0,17,1.0
162,Moderate Insecurity,girardota,351600.0,27,0.5
163,Moderate Insecurity,guacari,328750.0,64,0.35714285714285715
164,Moderate Insecurity,ibague,460000.0,123,0.68
165,Moderate Insecurity,istmina,362500.0,63,0.8571428571428571
166,Moderate Insecurity,la_paz,307700.0,125,0.8333333333333334
167,Moderate Insecurity,leticia,655475.0,169,0.8
168,Moderate Insecurity,los_cordobas,340000.0,87,0.7894736842105263
169,Moderate Insecurity,malambo,498000.0,61,0.7692307692307693
170,Moderate Insecurity,manizales,269500.0,59,0.9285714285714286
171,Moderate Insecurity,mariquita,478700.0,24,0.5555555555555556
172,Moderate Insecurity,marsella,618000.0,2,1.0
